time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,q,p1,p2,p3,A0,A1,A2
1588783351.4767056,0.01,-0.08,9.58,0.16666666666666666,0.31777777777777777,-0.6344444444444445,0.1875,0.6875,-13.625,325.125,1.5625,0.5625,0.9541015625,-0.0006103515625,-0.0147705078125,0.29913330078125,12.057369976310646,9.018399217477993,19.298746312561445
1588783351.4875119,0.02,-0.1,9.71,0.1811111111111111,0.33,-0.62,-0.125,0.6875,-13.6875,325.3125,1.5625,0.5625,0.9544677734375,-0.0006103515625,-0.01470947265625,0.29803466796875,12.057369976310646,8.835834193162938,19.221323377123028
1588783351.4955394,0.09,-0.08,9.67,0.1811111111111111,0.33,-0.62,-0.4375,0.875,-14.625,325.4375,1.5625,0.5625,0.954833984375,-0.00067138671875,-0.0145263671875,0.296875,12.057369976310646,8.835834193162938,19.221323377123028
1588783351.5072315,0.01,0.04,9.57,0.1811111111111111,0.33,-0.62,-0.375,0.875,-15.8125,325.5625,1.5,0.5,0.9552001953125,-0.00067138671875,-0.01434326171875,0.29559326171875,12.089964704596662,8.944915669795067,19.221323377123028
1588783351.514802,0.31,0.27,9.63,0.1811111111111111,0.33,-0.62,0.1875,0.8125,-16.375,325.75,1.5,0.5,0.95562744140625,-0.0006103515625,-0.01422119140625,0.29425048828125,12.089964704596662,8.944915669795067,19.221323377123028
1588783351.5278742,0.46,0.21,9.7,0.1811111111111111,0.33,-0.62,-0.125,1.125,-18.75,325.9375,1.5,0.5,0.95611572265625,-0.0006103515625,-0.01409912109375,0.292724609375,12.089964704596662,8.926252139028014,19.221323377123028
1588783351.5340686,0.31,0.14,9.72,0.1811111111111111,0.33,-0.62,0.125,1.1875,-23.4375,326.3125,1.5,0.5,0.95709228515625,-0.0006103515625,-0.0140380859375,0.28955078125,12.089964704596662,8.926252139028014,19.221323377123028
1588783351.546192,0.09,-0.03,9.7,0.1811111111111111,0.33,-0.62,0.125,1.25,-27.1875,326.5625,1.5,0.5,0.957763671875,-0.0006103515625,-0.013916015625,0.28729248046875,12.057369976310646,9.03742155952085,19.298746312561445
1588783351.5563753,-0.39,-0.2,9.64,0.1811111111111111,0.33,-0.62,0.125,1.5,-29.1875,326.875,1.4375,0.5,0.95843505859375,-0.0006103515625,-0.0137939453125,0.28497314453125,11.68777314304923,9.03742155952085,19.298746312561445
1588783351.5654304,-0.45,-0.25,9.6,0.1811111111111111,0.33,-0.62,-0.0625,1.1875,-27.0,327.125,1.4375,0.5,0.9591064453125,-0.0006103515625,-0.01373291015625,0.28277587890625,11.68777314304923,9.03742155952085,19.298746312561445
1588783351.5780046,-0.29,-0.21,9.67,0.1811111111111111,0.33,-0.62,0.0,1.0625,-23.75,327.375,1.4375,0.5,0.95965576171875,-0.0006103515625,-0.01361083984375,0.28082275390625,11.899981556876623,9.03742155952085,19.298746312561445
1588783351.585537,-0.07,-0.08,9.72,0.14888888888888888,0.3244444444444444,-0.6266666666666667,0.0,1.0,-21.125,327.875,1.4375,0.5,0.96099853515625,-0.00067138671875,-0.0135498046875,0.2762451171875,11.899981556876623,9.018399217477993,19.37674895896325
1588783351.5953176,-0.02,-0.06,9.68,0.14888888888888888,0.3244444444444444,-0.6266666666666667,-0.0625,0.875,-20.6875,328.125,1.4375,0.4375,0.96148681640625,-0.00067138671875,-0.01348876953125,0.2745361328125,11.963759524704209,9.018399217477993,19.37674895896325
1588783351.6060376,-0.1,-0.1,9.63,0.14888888888888888,0.3244444444444444,-0.6266666666666667,-0.125,1.0625,-20.625,328.3125,1.4375,0.4375,0.96197509765625,-0.00067138671875,-0.01336669921875,0.27288818359375,11.963759524704209,9.03742155952085,19.221323377123028
1588783351.618459,0.09,0.0,9.66,0.14888888888888888,0.3244444444444444,-0.6266666666666667,-0.1875,1.0625,-20.8125,328.5,1.4375,0.4375,0.96246337890625,-0.00067138671875,-0.0133056640625,0.27117919921875,12.057369976310646,9.018399217477993,19.526573943644642
1588783351.629418,0.3,0.14,9.71,0.14888888888888888,0.3244444444444444,-0.6266666666666667,0.125,1.0625,-22.625,328.6875,1.4375,0.4375,0.96295166015625,-0.00067138671875,-0.01318359375,0.26934814453125,12.057369976310646,9.018399217477993,19.526573943644642
1588783351.6408243,0.25,0.12,9.67,0.17333333333333334,0.33,-0.62,0.0,1.125,-26.1875,329.0,1.375,0.4375,0.96368408203125,-0.00067138671875,-0.01312255859375,0.266845703125,12.089964704596662,9.03742155952085,19.606294049247982
1588783351.649628,-0.36,-0.19,9.67,0.17333333333333334,0.33,-0.62,0.1875,1.25,-29.3125,329.3125,1.375,0.4375,0.96429443359375,-0.00067138671875,-0.01300048828125,0.264404296875,12.057369976310646,9.03742155952085,19.606294049247982
1588783351.658966,-0.45,-0.26,9.58,0.17333333333333334,0.33,-0.62,0.0625,1.25,-28.125,329.5625,1.375,0.4375,0.9649658203125,-0.00067138671875,-0.012939453125,0.26214599609375,12.057369976310646,9.018399217477993,19.686619196853087
1588783351.6659074,-0.28,-0.21,9.59,0.17333333333333334,0.33,-0.62,0.0625,1.0625,-24.625,329.8125,1.375,0.4375,0.96551513671875,-0.00067138671875,-0.0128173828125,0.2601318359375,12.057369976310646,9.018399217477993,19.686619196853087
1588783351.6789734,-0.01,-0.09,9.67,0.17333333333333334,0.33,-0.62,-0.125,0.8125,-22.125,330.0,1.375,0.4375,0.96600341796875,-0.00067138671875,-0.01275634765625,0.25830078125,12.089964704596662,9.03742155952085,17.619993944372677
1588783351.68594,-0.23,-0.19,9.73,0.15555555555555556,0.34444444444444444,-0.5988888888888889,0.125,1.0625,-22.0,330.5,1.375,0.4375,0.96697998046875,-0.00067138671875,-0.0126953125,0.25445556640625,12.089964704596662,9.03742155952085,17.619993944372677
1588783351.6978366,-0.1,-0.18,9.74,0.15555555555555556,0.34444444444444444,-0.5988888888888889,-0.0625,1.0625,-21.5,330.6875,1.375,0.4375,0.96746826171875,-0.00067138671875,-0.0125732421875,0.252685546875,12.152346422905849,9.03742155952085,17.43148123445975
1588783351.7113495,-0.13,-0.21,9.63,0.15555555555555556,0.34444444444444444,-0.5988888888888889,0.0625,1.0,-20.0,330.875,1.3125,0.4375,0.9678955078125,-0.0008544921875,-0.01226806640625,0.25103759765625,12.21865857690614,9.018399217477993,19.526573943644642
1588783351.7172508,-0.11,-0.14,9.66,0.15555555555555556,0.34444444444444444,-0.5988888888888889,0.1875,0.9375,-18.8125,331.0625,1.25,0.4375,0.96832275390625,-0.0009765625,-0.011962890625,0.24951171875,12.21865857690614,9.018399217477993,19.526573943644642
1588783351.7295392,-0.11,-0.17,9.68,0.15555555555555556,0.34444444444444444,-0.5988888888888889,0.0625,0.875,-17.875,331.25,1.25,0.4375,0.96868896484375,-0.00103759765625,-0.01171875,0.248046875,12.152346422905849,9.018399217477993,19.526573943644642
1588783351.7361465,-0.2,-0.16,9.71,0.13444444444444445,0.3377777777777778,-0.62,0.0625,0.75,-16.9375,331.6875,1.1875,0.4375,0.96966552734375,-0.001220703125,-0.01141357421875,0.24420166015625,12.152346422905849,9.018399217477993,19.221323377123028
1588783351.7497418,-0.33,-0.23,9.69,0.13444444444444445,0.3377777777777778,-0.62,0.0625,0.75,-15.375,331.875,1.125,0.4375,0.969970703125,-0.00140380859375,-0.010986328125,0.242919921875,12.18541893676799,8.835834193162938,19.221323377123028
