time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,q,p1,p2,p3,A0,A1,A2
1588870590.6529093,0.3,-4.4,8.77,0.3466666666666667,0.38333333333333336,-0.6755555555555556,0.125,-0.0625,0.0,261.625,1.1875,25.1875,-0.63818359375,0.13421630859375,0.17236328125,-0.73822021484375,12.151791005063021,43.81793078164114,84.51180745405263
1588870590.658693,0.32,-4.39,8.81,0.3466666666666667,0.38333333333333336,-0.6755555555555556,0.1875,0.0,-0.0625,261.625,1.25,25.1875,-0.63818359375,0.13421630859375,0.17242431640625,-0.73822021484375,12.151791005063021,43.81793078164114,84.51180745405263
1588870590.6729598,0.3,-4.41,8.87,0.3466666666666667,0.38333333333333336,-0.6755555555555556,-0.1875,-0.125,0.0625,261.625,1.25,25.1875,-0.63818359375,0.13427734375,0.17254638671875,-0.73822021484375,11.487980794348507,43.81793078164114,105.9510155722371
1588870590.6797402,0.31,-4.43,8.87,0.32,0.3711111111111111,-0.6466666666666666,-0.1875,0.0625,0.0625,261.6875,1.25,25.1875,-0.63818359375,0.13427734375,0.17266845703125,-0.7381591796875,11.487980794348507,43.81793078164114,105.9510155722371
1588870590.6918075,0.3,-4.42,8.86,0.32,0.3711111111111111,-0.6466666666666666,0.0625,0.0625,-0.0625,261.6875,1.25,25.1875,-0.63818359375,0.13433837890625,0.1727294921875,-0.7381591796875,12.182427074236077,41.408574428279465,98.83726404292604
1588870590.6985836,0.3,-4.4,8.77,0.32,0.3711111111111111,-0.6466666666666666,0.125,0.0625,0.0625,261.6875,1.25,25.25,-0.63812255859375,0.13433837890625,0.1728515625,-0.7381591796875,12.182427074236077,41.408574428279465,98.83726404292604
1588870590.712484,0.3,-4.39,8.85,0.32,0.3711111111111111,-0.6466666666666666,0.0625,-0.125,-0.125,261.6875,1.25,25.25,-0.63812255859375,0.1343994140625,0.17291259765625,-0.73809814453125,12.285598138752631,30.154327094133336,134.71697982913216
1588870590.7239184,0.3,-4.39,8.86,0.32,0.3711111111111111,-0.6466666666666666,-0.0625,-0.0625,0.125,261.6875,1.25,25.25,-0.63812255859375,0.1343994140625,0.1729736328125,-0.73809814453125,12.11791944850637,30.154327094133336,134.71697982913216
1588870590.7307153,0.33,-4.42,8.87,0.3466666666666667,0.38333333333333336,-0.6677777777777778,-0.1875,-0.125,0.0625,261.6875,1.25,25.25,-0.63812255859375,0.13446044921875,0.173095703125,-0.73809814453125,12.11791944850637,38.636576018665444,134.71697982913216
1588870590.7383404,0.32,-4.43,8.82,0.3466666666666667,0.38333333333333336,-0.6677777777777778,-0.1875,0.0,-0.125,261.6875,1.25,25.25,-0.63812255859375,0.13446044921875,0.17315673828125,-0.738037109375,12.11791944850637,38.636576018665444,89.77523801451822
1588870590.750456,0.29,-4.41,8.76,0.3466666666666667,0.38333333333333336,-0.6677777777777778,0.125,0.0625,-0.125,261.6875,1.25,25.25,-0.63812255859375,0.134521484375,0.17327880859375,-0.738037109375,12.285598138752631,32.27201175914994,105.9510155722371
1588870590.7586944,0.3,-4.39,8.82,0.3466666666666667,0.38333333333333336,-0.6677777777777778,0.0625,-0.0625,0.125,261.6875,1.25,25.3125,-0.63812255859375,0.134521484375,0.17333984375,-0.738037109375,12.285598138752631,32.27201175914994,105.9510155722371
1588870590.7707994,0.32,-4.41,8.87,0.3466666666666667,0.38333333333333336,-0.6677777777777778,-0.0625,0.0625,0.0625,261.6875,1.25,25.3125,-0.63812255859375,0.13458251953125,0.1734619140625,-0.73797607421875,12.182427074236077,39.20522731410346,102.36981896682414
1588870590.7818286,0.3,-4.41,8.87,0.3466666666666667,0.37666666666666665,-0.6588888888888889,-0.125,0.125,0.0,261.6875,1.25,25.3125,-0.63812255859375,0.13458251953125,0.17352294921875,-0.73797607421875,12.182427074236077,39.20522731410346,102.36981896682414
1588870590.7887502,0.32,-4.41,8.84,0.3466666666666667,0.37666666666666665,-0.6588888888888889,-0.1875,0.0625,-0.0625,261.6875,1.25,25.3125,-0.6380615234375,0.13458251953125,0.173583984375,-0.73797607421875,12.182427074236077,41.713108403018175,147.67835224851726
1588870590.8043096,0.3,-4.39,8.77,0.3466666666666667,0.37666666666666665,-0.6588888888888889,0.0625,0.0625,-0.0625,261.6875,1.3125,25.3125,-0.6380615234375,0.1346435546875,0.1737060546875,-0.7379150390625,11.921617398410705,39.510843012815435,104.2259405652048
1588870590.8110495,0.32,-4.39,8.8,0.3466666666666667,0.37666666666666665,-0.6588888888888889,0.0625,0.0625,-0.0625,261.6875,1.3125,25.3125,-0.6380615234375,0.1346435546875,0.17376708984375,-0.7379150390625,11.921617398410705,39.510843012815435,104.2259405652048
1588870590.8265722,0.3,-4.39,8.88,0.3466666666666667,0.37666666666666665,-0.6588888888888889,0.125,0.125,-0.0625,261.6875,1.3125,25.3125,-0.6380615234375,0.1346435546875,0.173828125,-0.7379150390625,12.182427074236077,40.10394745334199,51.460368661787655
1588870590.8329892,0.3,-4.39,8.87,0.3388888888888889,0.39111111111111113,-0.6755555555555556,-0.0625,-0.0625,0.1875,261.6875,1.3125,25.375,-0.6380615234375,0.13470458984375,0.17388916015625,-0.7379150390625,12.182427074236077,40.10394745334199,51.460368661787655
1588870590.8409314,0.3,-4.42,8.9,0.3388888888888889,0.39111111111111113,-0.6755555555555556,-0.25,-0.125,0.0625,261.6875,1.3125,25.375,-0.6380615234375,0.13470458984375,0.1739501953125,-0.73785400390625,11.639643434847262,40.10394745334199,51.460368661787655
1588870590.8487186,0.3,-4.41,8.78,0.3388888888888889,0.39111111111111113,-0.6755555555555556,-0.0625,0.0,-0.0625,261.6875,1.3125,25.375,-0.6380615234375,0.13470458984375,0.17401123046875,-0.73785400390625,11.639643434847262,43.44734393227604,76.49348185872624
1588870590.863461,0.3,-4.4,8.82,0.3388888888888889,0.39111111111111113,-0.6755555555555556,0.0,-0.125,0.125,261.6875,1.3125,25.375,-0.6380615234375,0.134765625,0.174072265625,-0.73785400390625,12.182427074236077,44.57710691193347,76.49348185872624
1588870590.8719573,0.32,-4.41,8.87,0.3388888888888889,0.39111111111111113,-0.6755555555555556,0.0625,0.125,0.0,261.6875,1.3125,25.375,-0.6380615234375,0.134765625,0.17413330078125,-0.73785400390625,12.182427074236077,44.57710691193347,49.56071854791829
1588870590.8819175,0.31,-4.42,8.88,0.32666666666666666,0.38333333333333336,-0.6755555555555556,0.0,0.0625,-0.0625,261.6875,1.3125,25.375,-0.6380615234375,0.134765625,0.17425537109375,-0.73779296875,11.169323072058047,44.926810344964814,49.56071854791829
1588870590.8896315,0.31,-4.4,8.84,0.32666666666666666,0.38333333333333336,-0.6755555555555556,-0.25,-0.0625,0.125,261.6875,1.3125,25.375,-0.6380615234375,0.13482666015625,0.17431640625,-0.73779296875,11.169323072058047,44.926810344964814,72.56354084186205
1588870590.900374,0.31,-4.4,8.74,0.32666666666666666,0.38333333333333336,-0.6755555555555556,-0.0625,0.0625,0.0625,261.6875,1.3125,25.375,-0.63800048828125,0.13482666015625,0.17437744140625,-0.73779296875,12.320352300403808,53.500839207166806,72.56354084186205
1588870590.9092965,0.3,-4.43,8.79,0.32666666666666666,0.38333333333333336,-0.6755555555555556,0.0625,0.0625,0.0,261.6875,1.3125,25.4375,-0.63800048828125,0.1348876953125,0.1744384765625,-0.73779296875,12.320352300403808,53.500839207166806,87.00184674641926
1588870590.9220867,0.31,-4.4,8.87,0.32666666666666666,0.38333333333333336,-0.6755555555555556,0.1875,0.0625,0.125,261.6875,1.3125,25.4375,-0.63800048828125,0.1348876953125,0.17449951171875,-0.73773193359375,11.283535227748562,44.926810344964814,91.07782767126979
1588870590.9303439,0.3,-4.39,8.88,0.3466666666666667,0.38333333333333336,-0.6588888888888889,-0.0625,0.125,0.0625,261.6875,1.3125,25.4375,-0.63800048828125,0.1348876953125,0.174560546875,-0.73773193359375,11.283535227748562,44.926810344964814,91.07782767126979
1588870590.94217,0.32,-4.4,8.87,0.3466666666666667,0.38333333333333336,-0.6588888888888889,-0.1875,0.0,0.0625,261.6875,1.3125,25.4375,-0.63800048828125,0.1348876953125,0.17462158203125,-0.73773193359375,12.151791005063021,40.42283755220455,84.51180745405263
1588870590.9501724,0.31,-4.42,8.76,0.3466666666666667,0.38333333333333336,-0.6588888888888889,-0.0625,0.0625,0.0625,261.6875,1.3125,25.4375,-0.63800048828125,0.13494873046875,0.17474365234375,-0.73773193359375,12.151791005063021,40.42283755220455,84.51180745405263
1588870590.9625175,0.3,-4.4,8.83,0.3466666666666667,0.38333333333333336,-0.6588888888888889,0.125,-0.1875,0.0625,261.6875,1.3125,25.4375,-0.63800048828125,0.13494873046875,0.1748046875,-0.7376708984375,11.169323072058047,42.75914443905159,87.00184674641926
1588870590.9768293,0.3,-4.4,8.87,0.3466666666666667,0.38333333333333336,-0.6588888888888889,0.3125,0.125,0.0625,261.6875,1.3125,25.4375,-0.63800048828125,0.13494873046875,0.1748046875,-0.7376708984375,12.21663692441251,36.1924068182738,76.49348185872624
1588870590.9828932,0.31,-4.41,8.89,0.31222222222222223,0.37666666666666665,-0.6755555555555556,0.0,0.0625,0.0,261.6875,1.3125,25.4375,-0.63800048828125,0.135009765625,0.17486572265625,-0.7376708984375,12.21663692441251,36.1924068182738,76.49348185872624
1588870590.9947536,0.31,-4.41,8.82,0.31222222222222223,0.37666666666666665,-0.6755555555555556,-0.0625,-0.125,0.125,261.6875,1.375,25.4375,-0.63800048828125,0.135009765625,0.1749267578125,-0.7376708984375,11.169323072058047,43.44734393227604,77.56592507971615
1588870591.000907,0.31,-4.43,8.77,0.31222222222222223,0.37666666666666665,-0.6755555555555556,-0.125,0.0,0.0,261.6875,1.375,25.5,-0.63800048828125,0.135009765625,0.175048828125,-0.7376708984375,11.169323072058047,43.44734393227604,77.56592507971615
1588870591.0146492,0.31,-4.43,8.81,0.31222222222222223,0.37666666666666665,-0.6755555555555556,-0.0625,0.125,-0.0625,261.6875,1.375,25.5,-0.637939453125,0.13507080078125,0.17510986328125,-0.73760986328125,11.460525354398817,40.74650127970809,77.56592507971615
1588870591.0223837,0.31,-4.41,8.87,0.31222222222222223,0.37666666666666665,-0.6755555555555556,0.1875,0.0,0.0,261.6875,1.375,25.5,-0.637939453125,0.13507080078125,0.1751708984375,-0.73760986328125,11.460525354398817,40.74650127970809,77.56592507971615
1588870591.0346427,0.3,-4.41,8.88,0.3333333333333333,0.36444444444444446,-0.6588888888888889,0.0,0.0,0.0,261.6875,1.375,25.5,-0.637939453125,0.13507080078125,0.17523193359375,-0.73760986328125,11.111587530804742,41.07504406542167,77.56592507971615
1588870591.040794,0.3,-4.4,8.85,0.3333333333333333,0.36444444444444446,-0.6588888888888889,-0.0625,-0.1875,0.0625,261.6875,1.375,25.5,-0.637939453125,0.1351318359375,0.17523193359375,-0.73760986328125,11.111587530804742,41.07504406542167,77.56592507971615
1588870591.0501614,0.31,-4.43,8.76,0.3333333333333333,0.36444444444444446,-0.6588888888888889,-0.0625,-0.125,0.125,261.6875,1.375,25.5,-0.637939453125,0.1351318359375,0.17535400390625,-0.737548828125,11.954469151589853,41.07504406542167,77.56592507971615
