time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589542490.2918086,-0.46,-3.73,8.86,0.4777777777777778,0.2933333333333333,-0.64,-0.6875,-0.875,2.1875
1589542490.3045466,-0.31,-3.74,8.83,0.4777777777777778,0.2933333333333333,-0.64,-0.1875,-0.125,3.0
1589542490.3105795,-0.32,-3.72,8.82,0.4777777777777778,0.3055555555555556,-0.6255555555555555,-0.75,-1.0,3.1875
1589542490.3185089,-0.32,-3.56,8.76,0.4777777777777778,0.3055555555555556,-0.6255555555555555,-1.3125,-1.3125,3.0625
1589542490.3299909,-0.25,-3.47,8.9,0.4777777777777778,0.3055555555555556,-0.6255555555555555,-3.0625,-2.6875,1.3125
1589542490.342148,-0.36,-2.57,8.92,0.4777777777777778,0.3055555555555556,-0.6255555555555555,-3.4375,-2.3125,-0.5
1589542490.3504252,-0.53,-2.62,9.06,0.4777777777777778,0.3055555555555556,-0.6255555555555555,-2.375,-1.25,2.4375
1589542490.3619404,-0.79,-2.67,9.03,0.4566666666666666,0.2933333333333333,-0.6311111111111111,-0.8125,-0.875,5.8125
1589542490.3679526,-0.77,-2.67,8.73,0.4566666666666666,0.2933333333333333,-0.6311111111111111,0.9375,0.4375,15.625
1589542490.373262,-0.77,-2.67,8.73,0.4566666666666666,0.2933333333333333,-0.6311111111111111,0.9375,0.4375,15.625
1589542490.3835518,-0.64,-2.62,8.79,0.4566666666666666,0.2933333333333333,-0.6311111111111111,-0.375,-1.5625,26.5
1589542490.3896062,-0.63,-2.68,8.78,0.4566666666666666,0.2933333333333333,-0.6311111111111111,0.125,-2.25,35.875
1589542490.4009054,-0.67,-2.78,8.92,0.4566666666666666,0.2933333333333333,-0.6311111111111111,0.75,-2.5,43.3125
1589542490.4083705,-0.68,-2.84,8.89,0.4833333333333333,0.3055555555555556,-0.6255555555555555,0.625,-2.375,50.625
1589542490.4208827,-0.64,-2.82,9.04,0.4833333333333333,0.3055555555555556,-0.6255555555555555,0.6875,-3.25,57.5
1589542490.4314127,-0.66,-2.87,8.92,0.4833333333333333,0.3055555555555556,-0.6255555555555555,0.5,-3.3125,63.6875
1589542490.439448,-0.62,-2.82,8.87,0.4833333333333333,0.3055555555555556,-0.6255555555555555,0.9375,-2.9375,69.25
1589542490.4562232,-0.66,-2.76,8.99,0.4833333333333333,0.3055555555555556,-0.6255555555555555,0.625,-3.4375,74.375
1589542490.4622226,-0.72,-2.78,8.87,0.49,0.2788888888888889,-0.6255555555555555,-0.125,-4.125,78.4375
1589542490.4698546,-0.74,-2.81,9.01,0.49,0.2788888888888889,-0.6255555555555555,0.0625,-4.4375,82.5
1589542490.4818587,-0.8,-2.88,8.57,0.49,0.2788888888888889,-0.6255555555555555,1.0625,-4.3125,87.0
1589542490.493932,-0.8,-2.91,8.86,0.49,0.2788888888888889,-0.6255555555555555,1.625,-4.25,91.125
1589542490.5021982,-0.82,-2.84,8.94,0.49,0.2788888888888889,-0.6255555555555555,0.25,-5.625,94.6875
1589542490.5135734,-0.96,-2.8,8.93,0.5166666666666667,0.2466666666666667,-0.64,0.9375,-5.25,98.8125
1589542490.5199795,-1.02,-2.75,8.99,0.5166666666666667,0.2466666666666667,-0.64,1.0,-5.5,102.9375
1589542490.5332408,-1.16,-2.82,9.08,0.5166666666666667,0.2466666666666667,-0.64,0.6875,-7.5,107.0625
1589542490.5398462,-1.12,-2.71,8.92,0.5166666666666667,0.2466666666666667,-0.64,2.125,-6.875,112.0
1589542490.5514965,-1.19,-2.75,9.18,0.5166666666666667,0.2466666666666667,-0.64,1.75,-5.25,117.875
1589542490.5597606,-1.27,-2.86,9.3,0.5244444444444445,0.22,-0.6611111111111111,0.3125,-5.75,123.8125
1589542490.5698225,-1.28,-2.68,8.94,0.5244444444444445,0.22,-0.6611111111111111,1.6875,-6.75,129.0
1589542490.5802836,-1.31,-2.63,8.63,0.5244444444444445,0.22,-0.6611111111111111,3.0625,-4.125,134.8125
1589542490.5903099,-1.16,-2.61,8.89,0.5244444444444445,0.22,-0.6611111111111111,1.625,-5.5,140.3125
1589542490.6019044,-1.12,-2.72,9.01,0.5244444444444445,0.22,-0.6611111111111111,1.3125,-8.375,144.75
1589542490.6116185,-1.16,-2.65,8.97,0.5311111111111111,0.14888888888888888,-0.6522222222222223,0.9375,-8.5,147.375
1589542490.6202295,-1.3,-2.75,8.83,0.5311111111111111,0.14888888888888888,-0.6522222222222223,1.625,-7.375,148.75
1589542490.6311734,-1.36,-2.69,8.75,0.5311111111111111,0.14888888888888888,-0.6522222222222223,2.125,-7.9375,149.5625
1589542490.6399136,-1.43,-2.73,8.66,0.5311111111111111,0.14888888888888888,-0.6522222222222223,2.1875,-6.875,151.0625
1589542490.651298,-1.45,-2.76,9.42,0.5311111111111111,0.14888888888888888,-0.6522222222222223,1.625,-8.625,151.8125
1589542490.6634693,-1.59,-2.65,8.84,0.5433333333333333,0.09555555555555556,-0.6666666666666666,2.3125,-7.25,153.25
1589542490.6701715,-1.64,-2.78,9.28,0.5433333333333333,0.09555555555555556,-0.6666666666666666,1.8125,-7.25,154.25
1589542490.6848516,-1.6,-2.61,8.68,0.5433333333333333,0.09555555555555556,-0.6666666666666666,1.3125,-7.8125,154.8125
1589542490.6910918,-1.61,-2.53,8.67,0.5433333333333333,0.09555555555555556,-0.6666666666666666,1.75,-6.625,155.3125
1589542490.7025616,-1.81,-2.69,9.26,0.5433333333333333,0.09555555555555556,-0.6666666666666666,1.3125,-8.9375,154.8125
1589542490.708902,-1.62,-2.29,8.08,0.57,0.03,-0.6822222222222222,3.625,-5.625,154.9375
1589542490.7205153,-1.62,-2.29,8.08,0.57,0.03,-0.6822222222222222,3.625,-5.625,154.9375
1589542490.7298436,-1.71,-2.19,7.96,0.57,0.03,-0.6822222222222222,1.0625,-8.875,149.125
1589542490.7439687,-1.92,-2.4,9.62,0.57,0.03,-0.6822222222222222,0.9375,-7.25,144.1875
1589542490.752248,-2.06,-2.35,9.27,0.57,0.03,-0.6822222222222222,-0.75,-10.75,140.4375
1589542490.7595801,-2.04,-2.2,8.62,0.5488888888888889,-0.03333333333333333,-0.7022222222222222,1.8125,-6.4375,137.25
1589542490.766597,-2.04,-2.2,8.62,0.5488888888888889,-0.03333333333333333,-0.7022222222222222,1.8125,-6.4375,137.25
1589542490.7781415,-2.1,-2.26,9.18,0.5488888888888889,-0.03333333333333333,-0.7022222222222222,1.8125,-6.4375,137.25
1589542490.7842815,-2.12,-2.2,8.87,0.5488888888888889,-0.03333333333333333,-0.7022222222222222,1.4375,-7.0,135.0
1589542490.791283,-2.12,-2.12,8.84,0.5488888888888889,-0.03333333333333333,-0.7022222222222222,0.9375,-6.125,128.0625
